PM10,NO,NO2,O3,PM25
5.797,0.94847,12.85118,69.38384,10.0
3.865,1.03469,10.69527,73.77438,6.0
6.763,0.61435,8.6357,75.68692,4.0
1.932,0.48501,8.15363,74.09036,2.0
0.0,0.74369,11.62995,65.35918,2.0
1.932,0.45268,7.83685,69.00133,0.0
0.0,0.48501,7.57792,74.88864,-2.0
0.966,0.54968,7.16474,73.29208,-1.0
1.932,0.77602,13.46451,61.61724,1.0
3.865,0.16167,5.92789,65.8581,2.0
2.899,0.58201,3.29456,67.80391,2.0
2.899,0.71135,2.52054,69.8495,3.0
2.899,0.74369,2.47096,68.05337,2.0
3.865,0.51735,2.50399,69.64993,3.0
9.662,0.58201,3.66092,70.09896,3.0
5.797,0.45268,4.69662,68.20305,4.0
6.763,0.25867,9.2334,62.26584,3.0
8.696,0.67902,9.84497,56.32863,2.0
14.493,0.54968,7.00773,60.81896,3.0
6.763,0.58201,8.16191,60.32003,2.0
8.696,0.42034,6.05463,61.2181,-3.0
8.696,0.54968,6.06567,58.5239,-2.0
4.831,0.51735,7.52834,58.62369,3.0
3.865,0.35568,7.82857,54.43272,4.0
0.966,0.81941,6.91035,53.48476,7.0
2.899,0.43127,6.17927,53.55128,6.0
1.932,0.54987,7.00953,52.43702,1.0
0.966,0.58221,4.44709,57.12691,-1.0
5.797,0.61456,5.33982,57.07702,1.0
4.831,1.16442,7.11425,55.53035,2.0
4.831,3.59029,17.26765,47.79702,5.0
4.831,7.24527,26.89756,40.41293,5.0
12.561,7.6981,33.42767,36.42153,4.0
3.865,7.0512,27.09043,41.9097,4.0
5.797,5.17519,21.74783,44.90325,2.0
3.865,6.27492,20.84686,45.30239,3.0
6.763,10.31804,23.86127,47.04863,5.0
9.662,4.04312,17.88209,54.5824,4.0
6.763,3.10512,17.54041,52.68648,2.0
4.831,4.8194,24.80622,45.00304,1.0
8.696,5.49864,29.57568,39.06583,7.0
4.831,8.37735,31.96737,31.33249,8.0
3.865,6.59837,28.25591,33.57765,7.0
3.865,5.98382,25.11484,38.16776,4.0
4.831,7.11589,26.10127,35.87271,2.0
8.696,3.16981,16.3942,41.66024,3.0
8.696,2.49056,13.19526,43.9054,4.0
5.797,2.71698,11.90578,44.15486,5.0
7.73,1.20795,8.96991,48.16289,14.0
3.865,0.64712,5.29156,60.00405,6.0
3.865,0.5824,3.45328,65.60864,2.0
3.865,0.48534,1.61225,69.00133,1.0
2.899,0.42063,2.44458,67.00563,4.0
4.831,0.93832,3.32647,63.11401,5.0
4.831,3.10616,11.94169,55.43057,0.0
3.865,4.72395,20.6672,46.74927,-2.0
7.73,5.30635,25.37724,42.10927,0.0
3.865,7.40948,29.85013,36.22196,1.0
1.932,11.4216,29.56317,36.47142,6.0
1.932,7.86246,24.02381,42.65809,4.0
1.932,11.55102,34.60121,36.42153,1.0
3.865,7.63597,26.62278,43.9054,2.0
4.831,9.18905,34.13839,31.78152,3.0
9.662,7.8301,40.25417,28.33894,3.0
12.561,8.73606,47.08633,21.90281,6.0
5.797,18.734,52.96415,17.51227,7.0
13.527,27.53478,64.3955,6.48603,9.0
28.986,65.09986,76.70365,3.49248,19.0
19.324,31.64397,66.78741,4.09119,16.0
18.358,13.33059,55.27968,6.48603,17.0
22.223,11.32453,51.91471,9.03054,17.0
19.324,25.9817,56.82753,3.29291,14.0
40.58,22.65664,53.25667,3.39269,17.0
17.392,4.96288,40.57884,9.71241,13.0
13.527,4.11056,41.04765,7.63355,11.0
10.628,2.7188,32.60114,16.46453,11.0
